iter	MultiClass
0	1.066470063
1	1.040693894
2	1.017366773
3	0.9981340018
4	0.9799709696
5	0.9649021493
6	0.9520712984
7	0.9406224973
8	0.9305049281
9	0.9211015253
10	0.9119104429
11	0.904241759
12	0.8975457757
13	0.8919653707
14	0.8853590159
15	0.8810058635
16	0.8767322436
17	0.8716845899
18	0.8665250394
19	0.8636323601
20	0.8601995224
21	0.8553134084
22	0.8529918489
23	0.8502466018
24	0.848037135
25	0.8461172286
26	0.843317284
27	0.8409268557
28	0.8393158834
29	0.8369644946
30	0.8354016723
31	0.8338720446
32	0.8323959199
33	0.8306329708
34	0.828522196
35	0.8266441306
36	0.8250301417
37	0.8237501827
38	0.8226634122
39	0.8210318598
40	0.8201919603
41	0.8194096426
42	0.8181281078
43	0.8160933723
44	0.8145262464
45	0.8133973432
46	0.8122381984
47	0.8108912131
48	0.8094342476
49	0.808171371
50	0.8068239682
51	0.8058222771
52	0.8048406936
53	0.8040509707
54	0.8033087942
55	0.8023524772
56	0.8010576689
57	0.7999347055
58	0.7990617829
59	0.798560	0.80360	0.7972816674
61	0.7964271457
62	0.7957882991
63	0.7946473747
64	0.79365	0.79865	0.792839775
66	0.79267	0.7967	0.791268	0.7968	0.7903422273
69	0.7891943315
70	0.7878376041
71	0.7867511945
72	0.78591543
73	0.7850956104
7474	0.7832585357575	0.782176	0.7676	0.781077	0.777	0.7802678	0.778	0.7797079	0.79	0.77957880	0.80	0.77874981	0.7820673008
82	0.7809753654
83	0.7799550522
84	0.7794938662
85	0.779018711
86	0.786	0.7735387	0.7774070838
88	0.7768944078
89	0.776395757
90	0.7753795431
91	0.774785506
92	0.7739826486
93	0.7723900967
94	0.7715977831
95	0.7707172423
96	0.7688007704
97	0.7678947647
98	0.7672926414
99	0.7664553338
100	0.7658745723
101	0.7646939652
102	0.7638423715
103	0.7632330449
104	0.7623170655
105	0.7614157478
106	0.7606402993
107	0.7587630115
108	0.7579607561
109	0.7572179205
110	0.756737866
111	0.7563134349
112	0.7556776627
113	0.7541441284
114	0.7525111388
115	0.7511367643
116	0.750418436
117	0.7495155856
118	0.7486089261
119	0.7469651407
120	0.7462518793
121	0.7457115844
122	0.7450297769
123	0.7446235334
124	0.7436528307
125	0.7428104701
126	0.7412527358
127	0.7406740283
128	0.7402523662
129	0.7391128521
130	0.7385679762
131	0.7380563208
132	0.737414201
133	0.7366417345
134	0.7356587335
135	0.7344129611
136	0.7328378612
137	0.7316176976
138	0.7301962001
139	0.7292488789
140	0.7280764138
141	0.7271811698
142	0.7264975004
143	0.7257128697
144	0.7238241911
145	0.722718019
146	0.72206892
147	0.7210877701
148	0.7200005785
149	0.7191329205
150	0.7186143362
151	0.7179951141
152	0.7173377472
153	0.7158856458
154	0.7153569856
155	0.7145646611
156	0.7140226708
157	0.7127839485
158	0.7119025245
159	0.7111198693
160	0.7098602481
161	0.7088750791
162	0.7081554958
163	0.7069087802
164	0.7064793832
165	0.7062429412
166	0.7052253943
167	0.7047314479
168	0.7041947501
169	0.7037893195
170	0.7031516538
171	0.7026732836
172	0.7018791947
173	0.7011152368
174	0.7008658713
175	0.7000621022
176	0.6991434572
177	0.6984584672
178	0.6980168026
179	0.6976394161
180	0.6966233029
181	0.6961904224
182	0.6950897717
183	0.6944438335
184	0.6937096693
185	0.6928070715
186	0.6923693275
187	0.6922172926
188	0.6911200952
189	0.6897383242
190	0.6885814109
191	0.6873359379
192	0.6864609007
193	0.6856428498
194	0.6850619063
195	0.684158312
196	0.683274578
197	0.6819410853
198	0.6812748864
199	0.6809961656
200	0.6799326927
201	0.6785509482
202	0.6773895993
203	0.6771700671
204	0.6765583374
205	0.675351736
206	0.6743188714
207	0.673640314
208	0.6721072616
209	0.6709402479
210	0.6706871021
211	0.670165814
212	0.6696797084
213	0.6687391664
214	0.6681038818
215	0.666431644
216	0.6656465473
217	0.6652219445
218	0.6645924652
219	0.6636408817
220	0.6624030492
221	0.6618681584
222	0.6611298443
223	0.6608041618
224	0.6600727236
225	0.659329342
226	0.6585949079
227	0.6572373858
228	0.6563908783
229	0.6561199726
230	0.6557077957
231	0.6547445991
232	0.6536705282
233	0.6523701306
234	0.6520103592
235	0.6515325018
236	0.651221717
237	0.650841354
238	0.6503556779
239	0.6496474169
240	0.6493488729
241	0.6485879971
242	0.647807665
243	0.6466113403
244	0.646274457
245	0.6458911828
246	0.6453678145
247	0.6442231606
248	0.6433717454
249	0.6428747736
250	0.6427307951
251	0.6421027326
252	0.6414782495
253	0.6403303502
254	0.6398201926
255	0.6393045105
256	0.6389241397
257	0.6376720451
258	0.6371652003
259	0.6363849663
260	0.6354969554
261	0.6351452845
262	0.634231035
263	0.6338845429
264	0.6329812899
265	0.631700122
266	0.6312566287
267	0.6303267374
268	0.629737059
269	0.6287179046
270	0.6283049987
271	0.6272540747
272	0272	0.615098273	0273	0.6142502253
274	0.613828137
275	0.6129733733
276	0.6121616924
277	0.6120026541
278	0.6115805937
279	0.6105832847
280	0.6095801376
281	0.6088374445
282	0.608070237
283	0.6072097043
284	0.606784285	0285	0.606604698
286	0.6056939647
287	0.605427312
288	0.60509429
289	0.604687831
290	0.6045136284
291	0.6036250203
292	0.6032238142
293	0.6022350689
294	0.6018551283
295	0.6008404909
296	0.5997257986
297	0.599070853
298	0.5985712071
299	0.5980848979
300	0.5977763513
301	0.5970486255
302	0.5966430151
303	0.5963995421
304	0.5957283018
305	0.5955494953
306	0.5948764999
307	0.5938823694
308	0.5936207879
309	0.5930525762
310	0.5921815931
311	0.5917364558
312	0.5908088705
313	0.5905069222
314	0.5896372373
315	0.5885952657
316	0.5881349729
317	0.5871908854
318	0.5866435904
319	0.5860999531
320	0.5850809693
321	0.5844524661
322	0.5835928099
323	0.5828614277
324	0.5817796288
325	0.581029604
326	0.5802556862
327	0.5799457676
328	0.5789408041
329	0.5783938646
330	0.5774255827
331	0.5768749487
332	0.5763653162
333	0.5752652737
334	0.5744120244
335	0.5733244433
336	0.5722530993
337	0.5712972002
338	0.5703242878
339	0.5698634859
340	0.5695083251
341	0.5686537647
342	0.567842758
343	0.5677363927
344	0.5668867379
345	0.5662938709
346	0.5660013107
347	0.5650250235
348	0.5642647374
349	0.5638311228
350	0.5632598348
351	0.5628257259
352	0.5618366286
353	0.5609755017
354	0.5602036823
355	0.5594726089
356	0.5592526131
357	0.5587998327
358	0.5581448572
359	0.5577271992
360	0.5574710624
361	0.5572637733
362	0.556431628
363	0.555835731
364	0.5554075211
365	0.5550748347
366	0.5541841426
367	0.5537705231
368	0.5528546405
369	0.5522368569
370	0.5520354665
371	0.5515664135
372	0.5508385906
373	0.5501083044
374	0.5494877185
375	0.5491646019
376	0.5486910178
377	0.5482054824
378	0.5473083119
379	0.5468266398
380	0.5463752827
381	0.5458710508
382	0.5454417055
383	0.545110429
384	0.5444128972
385	0.5439833816
386	0.5430632064
387	0.5428592065
388	0.5422837895
389	0.5421399015
390	0.5413735907
391	0.5408484466
392	0.540591853
393	0.5402777112
394	0.5398724627
395	0.539562485
396	0.5389081963
397	0.538666854
398	0.5384352653
399	0.5381307118
400	0.5374746779
401	0.5373466366
402	0.5371955838
403	0.5370466213
404	0.5363204824
405	0.5357704023
406	0.535384616
407	0.5348260989
408	0.5342339739
409	0.5336981824
410	0.5334895571
411	0.5328147992
412	0.5320052202
413	0.531076351
414	0.530694994
415	0.5301382784
416	0.5297168314
417	0.5291768669
418	0.5284114407
419	0.5276538742
420	0.5268253669
421	0.5263394222
422	0.5254436148
423	0.5248796778
424	0.5241670433
425	0.5238234711
426	0.5230431071
427	0.5224237776
428	0.5217149501
429	0.5213650953
430	0.5211015555
431	0.5207370183
432	0.5202628739
433	0.5198381394
434	0.519230711
435	0.5187288466
436	0.5180044838
437	0.517427724
438	0.5167416106
439	0.5161040482
440	0.5156597351
441	0.5149220847
442	0.5145365022
443	0.5142222228
444	0.5136021923
